MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
0.33109,5.843,1.4907,5.6431,0.024121,0.0015562,7,1
0.33109,4.843,0.49073,-2.3569,0.024121,0.0015562,7,1
4.3311,0.84295,-2.5093,1.6431,0.024121,0.0015562,7,0
5.3311,4.843,0.49073,4.6431,0.024121,0.0015562,7,0
4.3311,5.843,4.4907,4.6431,0.024121,0.0015562,7,1
-1.6689,4.843,5.4907,4.6431,0.024121,0.0015562,7,0
-0.66891,5.843,-0.50927,-1.3569,0.024121,0.0015562,7,1
-0.66891,-0.15705,-0.50927,-0.35689,0.024121,0.0015562,7,0
-2.6689,4.843,-2.5093,1.6431,0.024121,0.0015562,7,1
-2.6689,-2.157,-2.5093,-1.3569,0.024121,0.0015562,7,0
-2.6689,-2.157,-2.5093,4.6431,0.024121,0.0015562,7,0
-2.6689,-2.157,-1.5093,-0.35689,0.024121,0.0015562,7,1
-2.6689,-3.157,-2.5093,-3.3569,0.024121,0.0015562,7,1
-2.6689,-3.157,-2.5093,6.6431,0.024121,0.0015562,7,1
6.3311,-2.157,5.4907,-2.3569,0.024121,0.0015562,7,0
