MFonMB,Subj,Choice
-0.63515,48,1
0.36485,48,0
4.3649,48,1
2.3649,48,1
-1.6351,49,1
-0.63515,49,0
-1.6351,49,1
0.36485,49,1
-0.63515,49,0
-2.6351,49,0
3.3649,49,1
-2.6351,49,0
-0.63515,49,0
4.3649,49,0
0.36485,49,0
-3.6351,49,0
0.36485,49,0
1.3649,50,1
-0.63515,50,1
-4.6351,50,0
0.36485,50,1
1.3649,50,1
-3.6351,50,0
-4.6351,50,0
-1.6351,50,0
-3.6351,50,0
2.3649,50,1
-2.6351,50,0
5.3649,50,1
4.3649,50,1
0.36485,51,1
1.3649,51,0
-1.6351,51,0
1.3649,51,0
-2.6351,51,0
2.3649,51,1
-0.63515,51,1
1.3649,51,0
0.36485,51,1
-3.6351,51,0
-3.6351,51,0
-0.63515,51,1
-1.6351,51,1
-0.63515,51,0
-2.6351,52,0
4.3649,52,1
4.3649,52,1
-1.6351,52,0
-0.63515,52,1
-1.6351,52,1
-4.6351,52,0
-0.63515,52,1
1.3649,52,1
-2.6351,52,1
-2.6351,52,0
2.3649,52,1
-0.63515,52,0
2.3649,53,1
-2.6351,53,1
0.36485,53,1
2.3649,53,1
-0.63515,53,0
-1.6351,53,0
-4.6351,53,1
-1.6351,53,0
-3.6351,53,0
0.36485,53,0
-3.6351,53,0
-2.6351,53,0
-0.63515,53,1
-1.6351,54,0
-2.6351,54,1
-3.6351,54,1
-0.63515,54,1
3.3649,54,0
2.3649,54,0
0.36485,54,1
4.3649,54,0
-2.6351,54,1
0.36485,54,1
-3.6351,54,1
-1.6351,54,0
-3.6351,54,0
-4.6351,55,1
-4.6351,55,1
4.3649,55,1
3.3649,55,1
5.3649,55,1
0.36485,55,1
1.3649,55,1
-0.63515,55,1
-3.6351,55,1
-0.63515,55,0
-0.63515,55,1
-2.6351,55,1
-3.6351,55,1
5.3649,56,1
1.3649,56,1
3.3649,56,0
4.3649,56,0
-3.6351,56,1
5.3649,56,0
1.3649,56,0
1.3649,56,0
4.3649,56,0
2.3649,56,0
-2.6351,56,0
4.3649,56,1
-1.6351,56,0
-2.6351,56,0
5.3649,57,1
-2.6351,57,0
-3.6351,57,1
0.36485,57,1
2.3649,57,0
4.3649,57,0
5.3649,57,0
-2.6351,57,1
-4.6351,57,1
3.3649,57,1
-3.6351,57,1
0.36485,57,0
0.36485,57,0
4.3649,57,1
1.3649,58,1
2.3649,58,1
1.3649,58,0
0.36485,58,1
3.3649,58,1
3.3649,58,1
-2.6351,58,0
-3.6351,58,1
-0.63515,58,1
-4.6351,58,1
-0.63515,58,0
-2.6351,58,0
0.36485,58,0
1.3649,59,0
1.3649,59,1
4.3649,59,1
1.3649,59,0
1.3649,59,1
-1.6351,59,1
-3.6351,59,1
3.3649,59,1
-2.6351,59,1
-3.6351,59,0
-3.6351,59,0
-3.6351,59,0
-0.63515,59,1
-1.6351,60,1
-3.6351,60,1
1.3649,60,1
3.3649,60,1
4.3649,60,0
-0.63515,60,0
4.3649,60,1
-3.6351,60,0
0.36485,60,0
4.3649,60,0
-0.63515,60,1
-3.6351,60,0
-4.6351,60,0
-4.6351,61,0
2.3649,61,1
5.3649,61,0
-1.6351,61,0
2.3649,61,0
3.3649,61,1
2.3649,61,1
3.3649,61,1
-0.63515,61,0
-3.6351,61,0
0.36485,61,0
3.3649,61,0
3.3649,61,1
4.3649,61,0
-0.63515,62,1
1.3649,62,1
-0.63515,62,1
-0.63515,62,0
-3.6351,62,1
4.3649,62,0
-3.6351,62,0
0.36485,62,1
4.3649,62,1
4.3649,62,1
-4.6351,62,1
1.3649,62,1
-3.6351,62,0
2.3649,63,1
-4.6351,63,1
2.3649,63,1
-3.6351,63,0
3.3649,63,1
-4.6351,63,1
2.3649,63,1
-1.6351,63,0
5.3649,63,1
4.3649,63,0
5.3649,63,0
-2.6351,63,1
-3.6351,63,1
-4.6351,64,1
5.3649,64,1
3.3649,64,1
2.3649,64,1
-0.63515,64,1
2.3649,64,1
-4.6351,64,1
5.3649,64,0
-3.6351,64,1
-3.6351,64,1
-3.6351,64,1
-3.6351,64,0
5.3649,64,1
1.3649,65,0
-0.63515,65,1
-4.6351,65,1
0.36485,65,1
1.3649,65,1
-1.6351,65,0
2.3649,65,0
-1.6351,65,0
-1.6351,65,1
5.3649,65,0
1.3649,65,1
-2.6351,65,1
-1.6351,65,1
1.3649,66,0
-1.6351,66,0
0.36485,66,0
-4.6351,66,0
-2.6351,66,1
-1.6351,66,0
-2.6351,66,0
-4.6351,66,1
1.3649,66,0
3.3649,66,0
-4.6351,66,0
-4.6351,66,1
-3.6351,66,0
4.3649,67,1
-3.6351,67,1
2.3649,67,0
3.3649,67,0
2.3649,67,0
2.3649,67,0
1.3649,67,1
-4.6351,67,1
-1.6351,67,0
2.3649,67,0
1.3649,67,0
2.3649,67,0
-2.6351,67,0
4.3649,68,0
1.3649,68,0
2.3649,68,1
2.3649,68,1
1.3649,68,0
2.3649,68,1
-2.6351,68,0
-3.6351,68,0
-3.6351,68,0
2.3649,68,0
-1.6351,68,0
1.3649,68,1
3.3649,68,1
4.3649,68,1
-0.63515,69,0
1.3649,69,1
-3.6351,69,0
0.36485,69,1
2.3649,69,1
3.3649,69,1
5.3649,69,1
1.3649,69,1
-2.6351,69,1
-3.6351,69,1
-3.6351,69,1
4.3649,69,1
