MB,MF,MFonMB,Crits,Choice,Subj
2.7719,3.0483,4.2679,1,1,30
-1.2281,0.048341,4.2679,1,1,30
2.7719,-0.95166,-4.7321,1,1,30
2.7719,-3.9517,0.26793,1,1,30
-5.2281,-5.9517,4.2679,0,0,30
3.7719,-1.9517,4.2679,1,1,30
3.7719,7.0483,4.2679,1,1,30
0.77188,-1.9517,-4.7321,1,1,30
-0.22812,-1.9517,-2.7321,0,1,30
-1.2281,-0.95166,-4.7321,0,1,30
4.7719,5.0483,-4.7321,1,1,30
3.7719,4.0483,-3.7321,1,1,30
6.7719,5.0483,-4.7321,1,1,30
2.7719,3.0483,-4.7321,1,1,30
1.7719,-2.9517,3.2679,0,1,30
-3.2281,-0.95166,0.26793,0,0,30
6.7719,1.0483,-4.7321,1,1,30
2.7719,0.048341,-3.7321,1,1,30
-4.2281,2.0483,3.2679,0,0,31
0.77188,5.0483,4.2679,1,1,31
1.7719,-2.9517,4.2679,1,1,31
4.7719,5.0483,3.2679,1,1,31
3.7719,6.0483,-3.7321,1,1,31
0.77188,0.048341,-4.7321,1,1,31
-7.2281,-7.9517,-2.7321,0,0,31
-6.2281,-3.9517,4.2679,0,0,31
1.7719,-1.9517,-2.7321,1,1,31
-1.2281,-3.9517,4.2679,1,1,31
5.7719,0.048341,-2.7321,1,1,31
-1.2281,-0.95166,4.2679,1,1,31
5.7719,0.048341,-4.7321,1,1,31
6.7719,1.0483,4.2679,0,1,31
3.7719,-2.9517,3.2679,1,1,31
4.7719,6.0483,2.2679,1,1,31
1.7719,0.048341,-4.7321,1,1,31
5.7719,4.0483,-4.7321,1,1,32
-5.2281,-4.9517,2.2679,0,1,32
2.7719,3.0483,-4.7321,1,1,32
-5.2281,-0.95166,-4.7321,0,0,32
5.7719,-3.9517,-4.7321,1,0,32
-5.2281,-0.95166,-4.7321,1,1,32
-1.2281,2.0483,-4.7321,0,1,32
-2.2281,4.0483,-4.7321,1,0,32
4.7719,-2.9517,4.2679,1,1,32
2.7719,2.0483,4.2679,0,1,32
-0.22812,4.0483,3.2679,1,0,32
5.7719,6.0483,2.2679,1,1,32
0.77188,5.0483,2.2679,1,0,32
-2.2281,6.0483,-2.7321,0,0,32
-1.2281,-0.95166,-4.7321,1,1,32
-4.2281,2.0483,-3.7321,1,1,32
3.7719,2.0483,-3.7321,1,0,32
-0.22812,-3.9517,-4.7321,1,0,32
3.7719,4.0483,-0.73207,1,1,33
1.7719,2.0483,-4.7321,0,1,33
1.7719,-3.9517,-4.7321,1,1,33
0.77188,2.0483,-4.7321,0,0,33
-5.2281,-1.9517,3.2679,0,0,33
-1.2281,4.0483,3.2679,1,1,33
-0.22812,1.0483,4.2679,1,1,33
-2.2281,1.0483,-0.73207,1,1,33
3.7719,-3.9517,-4.7321,1,1,33
2.7719,-1.9517,3.2679,0,1,33
1.7719,1.0483,-4.7321,1,1,33
-1.2281,-1.9517,-4.7321,0,1,33
1.7719,2.0483,4.2679,0,1,33
2.7719,-3.9517,-2.7321,1,1,33
-1.2281,-0.95166,-4.7321,0,0,33
2.7719,6.0483,-2.7321,1,1,33
-0.22812,6.0483,2.2679,0,1,33
0.77188,3.0483,4.2679,1,1,33
4.7719,-0.95166,2.2679,1,1,33
-9.2281,-1.9517,-4.7321,0,0,33
2.7719,-3.9517,3.2679,1,0,33
-1.2281,-2.9517,-3.7321,0,1,33
-1.2281,-1.9517,-4.7321,1,1,33
-1.2281,5.0483,3.2679,0,1,33
-1.2281,4.0483,2.2679,1,0,33
0.77188,1.0483,4.2679,1,1,33
0.77188,2.0483,-2.7321,0,1,34
-3.2281,1.0483,-4.7321,1,1,34
-4.2281,-0.95166,-3.7321,0,1,34
-3.2281,-1.9517,4.2679,1,0,34
-0.22812,1.0483,4.2679,1,0,34
-1.2281,-1.9517,3.2679,1,1,34
-0.22812,-1.9517,3.2679,1,1,34
3.7719,4.0483,3.2679,1,1,34
-9.2281,-4.9517,4.2679,0,0,34
-0.22812,5.0483,4.2679,0,1,34
-6.2281,-3.9517,4.2679,1,1,34
2.7719,6.0483,4.2679,1,1,34
6.7719,5.0483,4.2679,0,1,34
5.7719,6.0483,-4.7321,1,1,34
-6.2281,-5.9517,3.2679,1,0,34
5.7719,0.048341,4.2679,1,1,34
4.7719,0.048341,-2.7321,0,1,34
4.7719,6.0483,4.2679,1,1,34
4.7719,-0.95166,3.2679,1,1,34
-3.2281,-0.95166,-4.7321,1,1,34
-9.2281,6.0483,-3.7321,0,0,35
-6.2281,-1.9517,-1.7321,1,1,35
4.7719,-7.9517,-4.7321,1,0,35
-4.2281,0.048341,2.2679,0,0,35
-1.2281,0.048341,4.2679,1,1,35
1.7719,2.0483,2.2679,1,1,35
-0.22812,5.0483,3.2679,1,1,35
1.7719,4.0483,4.2679,0,1,35
2.7719,4.0483,3.2679,1,1,35
4.7719,-1.9517,-2.7321,1,1,35
-7.2281,0.048341,4.2679,0,0,35
-0.22812,-5.9517,4.2679,1,0,35
-7.2281,-4.9517,4.2679,0,0,35
-3.2281,2.0483,4.2679,1,1,35
1.7719,2.0483,3.2679,1,1,35
-0.22812,2.0483,4.2679,1,1,35
5.7719,1.0483,-0.73207,1,1,35
3.7719,-7.9517,3.2679,1,1,35
4.7719,-0.95166,4.2679,1,1,35
-0.22812,0.048341,-4.7321,1,0,35
5.7719,5.0483,2.2679,1,1,36
-6.2281,-5.9517,4.2679,0,0,36
3.7719,-4.9517,2.2679,1,1,36
0.77188,0.048341,4.2679,0,1,36
4.7719,-3.9517,4.2679,1,1,36
3.7719,2.0483,4.2679,1,1,36
0.77188,-5.9517,-3.7321,1,1,36
-3.2281,-3.9517,-4.7321,1,0,36
-4.2281,-0.95166,4.2679,0,0,36
4.7719,7.0483,-2.7321,1,1,36
4.7719,5.0483,2.2679,1,1,36
1.7719,0.048341,3.2679,0,1,36
0.77188,-7.9517,2.2679,1,1,36
0.77188,2.0483,4.2679,0,1,36
-1.2281,2.0483,4.2679,0,1,36
1.7719,-1.9517,4.2679,1,1,36
1.7719,-0.95166,4.2679,1,1,36
2.7719,7.0483,4.2679,1,1,36
-1.2281,-0.95166,4.2679,0,1,36
3.7719,8.0483,4.2679,1,0,36
-3.2281,-2.9517,-4.7321,1,0,36
0.77188,6.0483,-4.7321,1,1,36
-3.2281,3.0483,2.2679,1,1,37
-1.2281,2.0483,3.2679,0,0,37
2.7719,2.0483,3.2679,1,0,37
1.7719,5.0483,3.2679,0,1,37
2.7719,2.0483,-2.7321,1,1,37
0.77188,-1.9517,4.2679,1,1,37
-4.2281,-0.95166,4.2679,1,1,37
