subject,datestamp,timestamp,version,Type,Goal,OptNum,Action,S2,Re,rt1,rt2,score,round,Crit,id
test_dg_v15,5/11/2015,17:12:52,numberSum_v1,1,1,13,1,1,5,3504,398,60,42,1,96
test_dg_v15,5/11/2015,17:12:57,numberSum_v1,1,1,15,1,1,2,3288,341,62,43,0,97
test_dg_v15,5/11/2015,17:13:00,numberSum_v1,1,1,4,0,0,-3,1648,853,59,44,0,98
test_dg_v15,5/11/2015,17:13:02,numberSum_v1,1,1,9,1,1,5,1558,309,64,45,0,99
test_dg_v15,5/11/2015,17:13:04,numberSum_v1,1,1,1,1,1,3,848,309,67,46,0,100
test_dg_v15,5/11/2015,17:13:06,numberSum_v1,1,1,6,1,2,3,1176,749,70,47,0,101
test_dg_v15,5/11/2015,17:13:09,numberSum_v1,1,1,8,1,1,1,1992,453,71,48,1,102
test_dg_v15,5/11/2015,17:13:18,numberSum_v1,1,1,15,1,1,4,1381,277,75,50,0,103
test_dg_v15,5/11/2015,17:13:20,numberSum_v1,1,1,9,1,1,5,1351,293,80,51,0,104
test_dg_v15,5/11/2015,17:13:24,numberSum_v1,1,1,4,1,2,-2,2273,941,78,52,0,105
test_dg_v15,5/11/2015,17:13:29,numberSum_v1,1,1,13,1,1,4,3858,788,82,53,1,106
test_dg_v15,5/11/2015,17:13:33,numberSum_v1,1,1,12,0,0,-3,1992,839,79,54,0,107
test_dg_v15,5/11/2015,17:13:36,numberSum_v1,1,1,4,1,1,1,2015,309,80,55,0,108
test_dg_v15,5/11/2015,17:13:39,numberSum_v1,1,1,7,-1,-1,0,1913,469,80,56,0,109
test_dg_v15,5/11/2015,17:13:40,numberSum_v1,1,1,6,1,1,2,1561,317,82,57,0,110
test_dg_v15,5/11/2015,17:13:42,numberSum_v1,1,1,1,1,1,-3,1153,326,79,58,0,111
test_dg_v15,5/11/2015,17:13:45,numberSum_v1,1,1,9,0,2,-2,1423,965,77,59,0,112
test_dg_v15,5/11/2015,17:13:48,numberSum_v1,1,1,3,1,1,1,1791,563,78,60,1,113
test_dg_v15,5/11/2015,17:13:54,numberSum_v1,1,1,15,1,1,1,3698,798,79,61,0,114
test_dg_v15,5/11/2015,17:13:56,numberSum_v1,1,1,9,1,1,-1,1335,381,78,62,0,115
test_dg_v15,5/11/2015,17:13:58,numberSum_v1,1,1,1,1,1,0,1142,581,78,63,0,116
test_dg_v15,5/11/2015,17:14:01,numberSum_v1,1,1,10,0,0,-4,1191,381,74,64,0,117
test_dg_v15,5/11/2015,17:14:04,numberSum_v1,1,1,4,1,1,-1,2199,317,73,65,0,118
test_dg_v15,5/11/2015,17:14:06,numberSum_v1,1,1,10,1,1,0,1119,301,73,66,0,119
test_dg_v15,5/11/2015,17:14:08,numberSum_v1,1,1,6,1,1,-1,1504,285,72,67,0,120
test_dg_v15,5/11/2015,17:14:11,numberSum_v1,1,1,1,1,2,-4,1520,812,68,68,0,121
test_dg_v15,5/11/2015,17:14:13,numberSum_v1,1,1,2,0,0,3,1430,509,71,69,1,122
test_dg_v15,5/11/2015,17:14:16,numberSum_v1,1,1,9,0,0,2,2248,445,73,70,0,123
test_dg_v15,5/11/2015,17:14:19,numberSum_v1,1,1,12,0,0,2,1581,454,75,71,0,124
test_dg_v15,5/11/2015,17:14:23,numberSum_v1,1,1,7,0,2,-3,2253,952,72,72,0,125
test_dg_v15,5/11/2015,17:14:25,numberSum_v1,1,1,11,1,1,-1,928,413,71,73,1,126
test_dg_v15,5/11/2015,17:14:28,numberSum_v1,1,1,1,0,0,3,1590,503,74,74,0,127
test_dg_v15,5/11/2015,17:14:31,numberSum_v1,1,1,1,1,1,-2,2255,573,72,75,0,128
test_dg_v15,5/11/2015,17:14:34,numberSum_v1,1,1,10,0,0,3,1857,373,75,76,0,129
test_dg_v15,5/11/2015,17:14:36,numberSum_v1,1,1,4,0,0,3,918,814,78,77,0,130
test_dg_v15,5/11/2015,17:14:40,numberSum_v1,1,1,10,1,2,5,2047,925,83,78,0,131
test_dg_v15,5/11/2015,17:14:45,numberSum_v1,1,1,5,0,0,1,3279,621,84,79,1,132
test_dg_v15,5/11/2015,17:14:47,numberSum_v1,1,1,15,0,0,-3,1180,365,81,80,0,133
test_dg_v15,5/11/2015,17:28:50,numberSum_v1,1,1,1,1,1,0,1157,325,0,1,0,134
test_dg_v15,5/11/2015,17:28:53,numberSum_v1,1,1,7,-1,-1,0,892,349,0,2,0,135
test_dg_v15,5/11/2015,17:28:55,numberSum_v1,1,0,1,1,1,0,817,270,0,3,0,136
test_dg_v15,5/11/2015,17:28:58,numberSum_v1,1,1,12,1,1,0,897,453,0,4,0,137
test_dg_v15,5/11/2015,17:29:02,numberSum_v1,1,1,15,-1,-1,0,705,661,0,5,0,138
test_dg_v15,5/11/2015,17:29:04,numberSum_v1,1,0,4,-1,-1,0,824,541,0,6,0,139
test_dg_v15,5/11/2015,17:29:06,numberSum_v1,1,1,15,1,1,0,1185,294,0,7,0,140
test_dg_v15,5/11/2015,17:29:09,numberSum_v1,1,1,6,-1,-1,0,1014,541,0,8,0,141
test_dg_v15,5/11/2015,17:29:11,numberSum_v1,1,1,12,1,1,0,668,310,0,9,0,142
test_dg_v15,5/11/2015,17:29:14,numberSum_v1,1,0,15,1,1,0,954,269,0,10,0,143
test_dg_v15,5/11/2015,17:29:19,numberSum_v1,1,0,4,0,0,0,1638,876,0,11,0,144
test_dg_v15,5/11/2015,17:29:22,numberSum_v1,1,1,7,1,1,0,1027,253,0,12,0,145
test_dg_v15,5/11/2015,17:29:25,numberSum_v1,1,1,10,1,1,0,969,285,0,13,0,146
test_dg_v15,5/11/2015,17:29:28,numberSum_v1,1,0,12,0,0,0,958,829,0,14,0,147
test_dg_v15,5/11/2015,17:29:31,numberSum_v1,1,1,10,1,2,0,819,765,0,15,0,148
test_dg_v15,5/11/2015,17:29:33,numberSum_v1,1,1,1,1,1,0,758,277,0,16,0,149
test_dg_v15,5/11/2015,17:29:36,numberSum_v1,1,1,7,1,1,0,804,261,0,17,0,150
test_dg_v15,5/11/2015,17:29:38,numberSum_v1,1,1,9,1,1,0,662,252,0,18,0,151
test_dg_v15,5/11/2015,17:29:41,numberSum_v1,1,1,10,-1,-1,0,783,517,0,19,0,152
test_dg_v15,5/11/2015,17:29:43,numberSum_v1,1,0,15,-1,-1,0,598,508,0,20,0,153
test_dg_v15,5/11/2015,17:29:47,numberSum_v1,1,0,9,0,0,4,848,758,0,21,0,154
test_dg_v15,5/11/2015,17:29:49,numberSum_v1,1,0,10,-1,-1,0,688,1270,0,22,0,155
test_dg_v15,5/11/2015,17:29:50,numberSum_v1,1,0,12,1,1,-4,689,302,0,23,0,156
test_dg_v15,5/11/2015,17:29:52,numberSum_v1,1,0,6,0,2,5,592,998,0,24,0,157
test_dg_v15,5/11/2015,17:29:54,numberSum_v1,1,0,7,0,0,0,706,797,0,25,0,158
test_dg_v15,5/11/2015,17:29:56,numberSum_v1,1,0,6,-1,-1,0,692,478,0,26,0,159
test_dg_v15,5/11/2015,17:29:57,numberSum_v1,1,0,12,1,1,-1,750,397,0,27,0,160
test_dg_v15,5/11/2015,17:29:59,numberSum_v1,1,0,6,0,2,5,686,653,0,28,0,161
test_dg_v15,5/11/2015,17:30:01,numberSum_v1,1,0,1,-1,-1,0,591,510,0,29,0,162
test_dg_v15,5/11/2015,17:30:05,numberSum_v1,1,0,1,1,1,-3,3010,434,0,30,0,163
test_dg_v15,5/11/2015,17:30:08,numberSum_v1,1,0,4,1,1,-3,938,268,37,31,0,164
test_dg_v15,5/11/2015,17:30:10,numberSum_v1,1,0,12,0,0,2,591,853,39,32,0,165
test_dg_v15,5/11/2015,17:30:12,numberSum_v1,1,0,9,1,1,1,759,405,40,33,0,166
test_dg_v15,5/11/2015,17:30:14,numberSum_v1,1,0,10,-1,-1,0,519,957,40,34,0,167
test_dg_v15,5/11/2015,17:30:15,numberSum_v1,1,0,7,-1,-1,0,519,850,40,35,0,168
test_dg_v15,5/11/2015,17:30:17,numberSum_v1,1,0,12,-1,-1,0,543,1285,40,36,0,169
test_dg_v15,5/11/2015,17:30:18,numberSum_v1,1,0,7,1,1,1,551,453,41,37,0,170
test_dg_v15,5/11/2015,17:30:20,numberSum_v1,1,0,15,-1,-1,0,630,886,41,38,0,171
test_dg_v15,5/11/2015,17:30:22,numberSum_v1,1,0,1,0,0,1,1303,838,42,39,0,172
test_dg_v15,5/11/2015,17:30:26,numberSum_v1,1,0,15,-1,-1,0,1200,1143,42,40,0,173
test_dg_v15,5/11/2015,17:30:27,numberSum_v1,1,0,12,1,2,5,1084,725,47,41,0,174
test_dg_v15,5/11/2015,17:30:31,numberSum_v1,1,0,8,1,1,0,1880,437,47,42,1,175
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:07:46,numberSum_v1,1,1,10,1,1,0,1650,7337,0,1,0,176
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:07:57,numberSum_v1,1,1,10,1,1,0,1411,1023,0,2,0,177
AS4WHZ0EVURW_dg_v15,5/11/2015,22:07:57,numberSum_v1,1,1,12,1,1,0,23923,3254,0,1,0,178
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:08:05,numberSum_v1,1,0,1,0,0,0,1827,1836,0,3,0,179
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:08:12,numberSum_v1,1,0,4,0,0,0,2210,1380,0,4,0,180
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:08:19,numberSum_v1,1,1,12,1,1,0,2950,1157,0,5,0,181
AS4WHZ0EVURW_dg_v15,5/11/2015,22:08:22,numberSum_v1,1,1,9,1,1,0,1751,16216,0,2,0,182
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:08:25,numberSum_v1,1,1,10,1,1,0,1404,818,0,6,0,183
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:08:31,numberSum_v1,1,1,10,1,1,0,1355,825,0,7,0,184
AS4WHZ0EVURW_dg_v15,5/11/2015,22:08:31,numberSum_v1,1,0,15,0,0,0,3410,2031,0,3,0,185
