"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test_dg_v15","2015-05-11","14:34:39","dawstage2_v1","1","1","5","2","2","4","-4","508","198","60","28","0","124"
"test_dg_v15","2015-05-11","14:34:41","dawstage2_v1","1","1","5","3","3","2","2","1172","465","62","29","0","125"
"test_dg_v15","2015-05-11","14:34:43","dawstage2_v1","1","1","5","3","3","1","-4","585","456","58","30","0","126"
"test_dg_v15","2015-05-11","14:34:45","dawstage2_v1","1","1","5","2","2","4","-3","587","409","55","31","0","127"
"test_dg_v15","2015-05-11","14:34:47","dawstage2_v1","1","1","3","1","5","6","5","477","1103","60","32","0","128"
"test_dg_v15","2015-05-11","14:34:50","dawstage2_v1","1","1","5","3","3","1","1","834","529","61","33","1","129"
"test_dg_v15","2015-05-11","14:34:51","dawstage2_v1","1","1","3","1","1","1","0","709","289","61","34","0","130"
"test_dg_v15","2015-05-11","14:34:54","dawstage2_v1","1","1","5","3","3","2","-1","1406","189","60","35","0","131"
"test_adam2_dg_v15","2015-05-11","14:43:55","dawstage2_v1","1","2","5","3","3","2","0","1263","537","0","1","0","132"
"test_adam2_dg_v15","2015-05-11","14:44:02","dawstage2_v1","1","2","8","3","3","2","0","3179","381","0","2","0","133"
"test_adam2_dg_v15","2015-05-11","14:44:07","dawstage2_v1","1","4","1","2","2","4","0","945","504","0","3","0","134"
"test_adam2_dg_v15","2015-05-11","14:44:11","dawstage2_v1","1","3","5","2","2","3","0","971","406","0","4","0","135"
"test_adam2_dg_v15","2015-05-11","14:44:16","dawstage2_v1","1","2","5","3","3","2","0","799","530","0","5","0","136"
"test_adam2_dg_v15","2015-05-11","14:44:20","dawstage2_v1","1","3","5","2","2","3","0","947","649","0","6","0","137"
"test_adam2_dg_v15","2015-05-11","14:44:25","dawstage2_v1","1","4","5","2","2","3","0","830","377","0","7","0","138"
"test_adam2_dg_v15","2015-05-11","14:44:29","dawstage2_v1","1","3","1","2","2","3","0","582","535","0","8","0","139"
"test_adam2_dg_v15","2015-05-11","14:44:33","dawstage2_v1","1","3","5","2","2","3","0","528","286","0","9","0","140"
"test_adam2_dg_v15","2015-05-11","14:44:37","dawstage2_v1","1","4","1","2","2","4","0","718","343","0","10","0","141"
"test_adam2_dg_v15","2015-05-11","14:44:43","dawstage2_v1","1","3","8","4","4","3","0","959","428","0","11","0","142"
"test_adam2_dg_v15","2015-05-11","14:44:47","dawstage2_v1","1","3","1","2","2","3","0","629","386","0","12","0","143"
"test_adam2_dg_v15","2015-05-11","14:44:51","dawstage2_v1","1","3","8","4","4","3","0","719","425","0","13","0","144"
"test_adam2_dg_v15","2015-05-11","14:44:55","dawstage2_v1","1","3","5","2","2","3","0","791","477","0","14","0","145"
"test_adam2_dg_v15","2015-05-11","14:45:00","dawstage2_v1","1","4","3","4","4","4","0","731","661","0","15","0","146"
"test_adam2_dg_v15","2015-05-11","14:45:03","dawstage2_v1","1","4","8","4","4","4","0","436","370","0","16","0","147"
"test_adam2_dg_v15","2015-05-11","14:45:07","dawstage2_v1","1","4","8","4","4","4","0","584","347","0","17","0","148"
"test_adam2_dg_v15","2015-05-11","14:45:11","dawstage2_v1","1","2","1","1","1","2","0","531","496","0","18","0","149"
"test_adam2_dg_v15","2015-05-11","14:45:16","dawstage2_v1","1","3","8","4","4","3","0","1175","342","0","19","0","150"
"test_adam2_dg_v15","2015-05-11","14:45:20","dawstage2_v1","1","4","3","4","4","4","0","706","365","0","20","0","151"
"test_adam2_dg_v15","2015-05-11","14:52:15","dawstage2_v1","1","4","3","1","1","2","1","800","194","0","21","0","152"
"test_adam2_dg_v15","2015-05-11","14:52:16","dawstage2_v1","1","4","8","3","3","2","1","557","167","0","22","0","153"
"test_adam2_dg_v15","2015-05-11","14:52:18","dawstage2_v1","1","4","1","2","2","3","-3","423","341","0","23","0","154"
"test_adam2_dg_v15","2015-05-11","14:52:19","dawstage2_v1","1","4","5","3","3","2","1","592","467","0","24","0","155"
"test_adam2_dg_v15","2015-05-11","14:52:21","dawstage2_v1","1","4","5","3","3","2","1","599","662","0","25","0","156"
"test_adam2_dg_v15","2015-05-11","14:52:22","dawstage2_v1","1","4","1","1","1","2","-1","547","472","0","26","0","157"
"test_adam2_dg_v15","2015-05-11","14:52:24","dawstage2_v1","1","4","1","2","2","3","3","512","190","0","27","0","158"
"test_adam2_dg_v15","2015-05-11","14:52:25","dawstage2_v1","1","4","3","4","4","3","3","708","275","0","28","0","159"
"test_adam2_dg_v15","2015-05-11","14:52:27","dawstage2_v1","1","4","3","4","4","3","0","548","676","0","29","0","160"
"test_adam2_dg_v15","2015-05-11","14:52:28","dawstage2_v1","1","4","1","2","2","3","2","594","452","0","30","0","161"
"test_adam2_dg_v15","2015-05-11","14:52:32","dawstage2_v1","1","4","5","3","3","2","1","762","165","41","31","0","162"
"test_adam2_dg_v15","2015-05-11","14:52:36","dawstage2_v1","1","4","8","3","3","1","3","794","211","44","32","0","163"
"test_adam2_dg_v15","2015-05-11","14:52:39","dawstage2_v1","1","4","5","3","3","1","4","800","477","48","33","0","164"
"test_adam2_dg_v15","2015-05-11","14:52:40","dawstage2_v1","1","4","5","2","2","4","-4","537","170","44","34","0","165"
"test_adam2_dg_v15","2015-05-11","14:52:42","dawstage2_v1","1","4","3","1","1","1","-2","617","207","42","35","0","166"
"test_adam2_dg_v15","2015-05-11","14:52:43","dawstage2_v1","1","4","5","3","3","2","2","565","194","44","36","0","167"
"test_adam2_dg_v15","2015-05-11","14:52:46","dawstage2_v1","1","4","3","1","1","2","1","567","380","45","37","0","168"
"test_adam2_dg_v15","2015-05-11","14:52:48","dawstage2_v1","1","4","5","2","2","4","-2","653","530","43","38","0","169"
"test_adam2_dg_v15","2015-05-11","14:52:49","dawstage2_v1","1","4","1","1","1","1","-2","596","337","41","39","0","170"
"test_adam2_dg_v15","2015-05-11","14:52:50","dawstage2_v1","1","4","8","3","3","2","-4","378","304","37","40","0","171"
"test_adam2_dg_v15","2015-05-11","14:52:52","dawstage2_v1","1","4","8","4","5","6","-3","508","464","34","41","0","172"
"test_adam2_dg_v15","2015-05-11","16:07:47","dawstage2_v1","1","4","3","4","4","4","0","1081","374","0","1","0","173"
"test_adam2_dg_v15","2015-05-11","16:07:51","dawstage2_v1","1","4","3","4","4","4","0","529","503","0","2","0","174"
"test_adam2_dg_v15","2015-05-11","16:07:55","dawstage2_v1","1","2","3","1","1","2","0","497","471","0","3","0","175"
"test_adam2_dg_v15","2015-05-11","16:08:00","dawstage2_v1","1","3","8","3","3","1","0","785","750","0","4","0","176"
"test_adam2_dg_v15","2015-05-11","16:08:04","dawstage2_v1","1","4","5","3","3","2","0","404","655","0","5","0","177"
"test_adam2_dg_v15","2015-05-11","16:08:08","dawstage2_v1","1","3","8","4","4","3","0","869","518","0","6","0","178"
"test_adam2_dg_v15","2015-05-11","16:08:13","dawstage2_v1","1","3","5","2","2","3","0","1292","431","0","7","0","179"
"test_adam2_dg_v15","2015-05-11","16:08:17","dawstage2_v1","1","2","1","1","1","2","0","756","415","0","8","0","180"
"test_adam2_dg_v15","2015-05-11","16:08:21","dawstage2_v1","1","2","8","3","3","2","0","861","360","0","9","0","181"
"test_adam2_dg_v15","2015-05-11","16:08:26","dawstage2_v1","1","4","8","3","3","2","0","1073","382","0","10","0","182"
"test_adam2_dg_v15","2015-05-11","16:08:31","dawstage2_v1","1","2","5","3","3","2","0","654","326","0","11","0","183"
"test_adam2_dg_v15","2015-05-11","16:08:35","dawstage2_v1","1","3","5","2","2","3","0","714","527","0","12","0","184"
"test_adam2_dg_v15","2015-05-11","16:08:39","dawstage2_v1","1","3","3","1","1","2","0","1093","383","0","13","0","185"
"test_adam2_dg_v15","2015-05-11","16:08:43","dawstage2_v1","1","2","1","2","2","4","0","790","311","0","14","0","186"
"test_adam2_dg_v15","2015-05-11","16:08:47","dawstage2_v1","1","2","5","3","3","2","0","751","339","0","15","0","187"
"test_adam2_dg_v15","2015-05-11","16:08:51","dawstage2_v1","1","2","5","3","3","2","0","605","327","0","16","0","188"
"test_adam2_dg_v15","2015-05-11","16:08:55","dawstage2_v1","1","2","5","3","3","2","0","524","327","0","17","0","189"
"test_adam2_dg_v15","2015-05-11","16:08:59","dawstage2_v1","1","2","5","3","3","2","0","637","199","0","18","0","190"
"test_adam2_dg_v15","2015-05-11","16:09:03","dawstage2_v1","1","4","8","4","4","4","0","660","615","0","19","0","191"
"test_adam2_dg_v15","2015-05-11","16:09:08","dawstage2_v1","1","2","8","3","3","2","0","1557","478","0","20","0","192"
"test_adam2_dg_v15","2015-05-11","16:09:12","dawstage2_v1","1","2","1","1","1","1","-4","719","183","0","21","0","193"
"test_adam2_dg_v15","2015-05-11","16:09:13","dawstage2_v1","1","2","5","2","2","4","0","516","183","0","22","0","194"
"test_adam2_dg_v15","2015-05-11","16:09:14","dawstage2_v1","1","2","1","2","2","4","-2","392","175","0","23","0","195"
"test_adam2_dg_v15","2015-05-11","16:09:15","dawstage2_v1","1","2","5","2","2","4","-2","337","151","0","24","0","196"
"test_adam2_dg_v15","2015-05-11","16:09:16","dawstage2_v1","1","2","3","1","1","2","-2","522","375","0","25","0","197"
"test_adam2_dg_v15","2015-05-11","16:09:17","dawstage2_v1","1","2","8","4","4","3","1","323","351","0","26","0","198"
"test_adam2_dg_v15","2015-05-11","16:09:19","dawstage2_v1","1","2","1","2","2","4","2","337","183","0","27","0","199"
"test_adam2_dg_v15","2015-05-11","16:09:20","dawstage2_v1","1","2","8","4","4","4","1","314","159","0","28","0","200"
"test_adam2_dg_v15","2015-05-11","16:09:22","dawstage2_v1","1","2","5","2","2","4","0","354","147","0","29","0","201"
"test_adam2_dg_v15","2015-05-11","16:09:23","dawstage2_v1","1","2","5","2","2","4","-2","378","135","0","30","0","202"
"test_adam2_dg_v15","2015-05-11","16:09:26","dawstage2_v1","1","2","1","1","1","2","5","553","160","45","31","0","203"
"test_dg_v15","2015-05-11","16:12:05","dawstage2_v1","1","3","5","2","2","3","0","62165","743","0","1","0","204"
"test_adam2_dg_v15","2015-05-11","16:14:04","dawstage2_v1","1","4","3","4","4","4","0","941","373","0","1","0","205"
"test_adam2_dg_v15","2015-05-11","16:14:08","dawstage2_v1","1","2","5","3","3","2","0","866","311","0","2","0","206"
"test_adam2_dg_v15","2015-05-11","16:14:12","dawstage2_v1","1","3","3","4","4","3","0","628","431","0","3","0","207"
"test_adam2_dg_v15","2015-05-11","16:14:16","dawstage2_v1","1","4","8","4","4","4","0","608","311","0","4","0","208"
"test_dg_v15","2015-05-11","16:14:56","dawstage2_v1","1","4","3","4","4","4","0","577","345","0","1","0","209"
"test_dg_v15","2015-05-11","16:15:00","dawstage2_v1","1","4","5","2","2","4","0","1132","347","0","2","0","210"
"test_dg_v15","2015-05-11","16:15:05","dawstage2_v1","1","2","3","1","1","2","0","1218","444","0","3","0","211"
"test_dg_v15","2015-05-11","16:15:09","dawstage2_v1","1","3","5","3","3","1","0","539","466","0","4","0","212"
"test_dg_v15","2015-05-11","16:15:14","dawstage2_v1","1","2","5","3","3","2","0","1090","338","0","5","0","213"
"test_dg_v15","2015-05-11","16:15:17","dawstage2_v1","1","2","5","3","3","2","0","717","189","0","6","0","214"
"test_dg_v15","2015-05-11","16:15:22","dawstage2_v1","1","4","5","3","3","2","0","877","375","0","7","0","215"
"test_dg_v15","2015-05-11","16:15:26","dawstage2_v1","1","4","1","2","2","4","0","706","275","0","8","0","216"
"test_adam4_dg_v15","2015-05-11","16:23:57","dawstage2_v1","1","2","1","1","1","2","0","802","293","0","1","0","217"
"test_adam4_dg_v15","2015-05-11","16:24:01","dawstage2_v1","1","3","1","2","2","3","0","861","508","0","2","0","218"
